ident_men;ident_ind;pond_indc;sexe;age;lien_01;typolog;handicap;cs42;cs24;situa;statut;typemploi;temptrav;ddipl;pond_jour;nbkm_tot_velo_modprinc;nbkm_vae_velo_modprinc;nbkm_nonvae_velo_modprinc;nbkm_tot_velo_modannexe;nbkm_vae_velo_modannexe;nbkm_nonvae_velo_modannexe;pond_menc;cs42pr;cs24pr;dipdetpr;dipdetcj;stoc;stocp;quartile_rev;decile_rev;quartile_rev_uc;decile_rev_uc;dep_res;nuts_res;reg_res;tuu2017_res;catcom_aa_res;nb_velos;pond_velo1;kvelocat1;kveloutil_flag1;kveloutil_a1;kveloutil_b1;kveloutil_c1;kveloutil_d1;kvkm1sem1;pond_velo2;kvelocat2;kveloutil_flag2;kveloutil_a2;kveloutil_b2;kveloutil_c2;kveloutil_d2;kvkm1sem2;pond_velo3;kvelocat3;kveloutil_flag3;kveloutil_a3;kveloutil_b3;kveloutil_c3;kveloutil_d3;kvkm1sem3;pond_velo4;kvelocat4;kveloutil_flag4;kveloutil_a4;kveloutil_b4;kveloutil_c4;kveloutil_d4;kvkm1sem4;pond_velo5;kvelocat5;kveloutil_flag5;kveloutil_a5;kveloutil_b5;kveloutil_c5;kveloutil_d5;kvkm1sem5;conduit_moins10km_slt;conduit_moins20km;nb_trip_voit;mdisttot_fin1;voiture_passager1;mdisttot_fin2;voiture_passager2;mdisttot_fin3;voiture_passager3;mdisttot_fin4;voiture_passager4;mdisttot_fin5;voiture_passager5;mdisttot_fin6;voiture_passager6;mdisttot_fin7;voiture_passager7;mdisttot_fin8;voiture_passager8;mdisttot_fin9;voiture_passager9;mdisttot_fin10;voiture_passager10;mdisttot_fin11;voiture_passager11;mdisttot_fin12;voiture_passager12;mdisttot_fin13;voiture_passager13;mdisttot_fin14;voiture_passager14;mdisttot_fin15;voiture_passager15;mdisttot_fin16;voiture_passager16;mdisttot_fin17;voiture_passager17;mdisttot_fin18;voiture_passager18;tot_dist_voit;nbkm_walking_lower;nbkm_walking_upper
1,1E+12;1,1E+14;1986.985;1;62;0;1;2;48;48;1;3;6;1;4;15000.872775;0;0;0;0;0;0;1986.985;48;48;43;;5;;4;10;4;10;75;FR10;Ile-de-France;8;11;1;1986.985;3;1;1;0;0;0;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1.000000014901161;1.000000014901161
1,1E+12;1,1E+14;2647.647;1;62;0;1;2;75;73;5;;;;1;13293.278959;0;0;0;0;0;0;2647.647;75;73;21;;4;;1;2;2;3;75;FR10;Ile-de-France;8;11;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;.4000000059604645;.4000000059604645
1,1E+12;1,1E+14;7389.1577;1;6;2;1;2;;;;;;;;48580.285267;0;0;0;0;0;0;2463.0525;46;46;35;22;1;1;4;9;3;7;78;FR10;Ile-de-France;8;12;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;4.8553909044;1;4.8553909044;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.7107821;0;0
1,1E+12;1,1E+14;2538.5181;1;67;1;1;2;74;73;5;;;;5;15891.227071;0;0;0;0;0;0;1269.259;74;73;52;41;2;1;4;9;4;9;78;FR10;Ile-de-France;8;12;2;1269.259;4;1;0;1;0;0;10;1269.259;4;1;0;1;0;0;10;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;.800000011920929;.800000011920929
1,1E+12;1,1E+14;2167.8162;1;37;0;1;2;46;46;1;3;6;1;1;14690.948015;0;0;0;0;0;0;2167.8162;46;46;22;;4;;2;3;3;6;75;FR10;Ile-de-France;8;11;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;3;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;0;0
1,1E+12;1,1E+14;4271.6094;2;90;0;1;2;78;76;5;;;;7;3769.0672424;0;0;0;0;0;0;4271.6094;78;76;70;;2;1;2;3;2;5;78;FR10;Ile-de-France;8;12;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
1,1E+12;1,1E+14;7347.603;1;40;1;1;2;65;61;1;3;6;1;5;47800.148253;0;0;0;0;0;0;2449.2009;46;46;53;51;4;;3;8;2;5;78;FR10;Ile-de-France;8;12;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;2;5;0;18;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;0;0
1,1E+12;1,1E+14;12037.89;1;42;1;1;2;43;41;1;2;6;1;3;71644.468863;0;0;0;0;0;0;3009.4724;43;41;34;34;2;1;4;10;4;9;75;FR10;Ile-de-France;8;11;2;3009.4724;4;1;0;1;0;0;;3009.4724;4;1;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
1,1E+12;1,1E+14;4219.8418;1;70;0;1;2;75;73;5;;;;3;8582.7291324;0;0;0;0;0;0;2109.9209;75;73;31;53;2;1;4;9;4;9;78;FR10;Ile-de-France;8;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;7;2;0;2;0;7.2000000003;0;8;0;10;0;10;0;10;0;;;;;;;;;;;;;;;;;;;;;;;49.200001;0;0
1,1E+12;1,1E+14;3924.9019;2;32;0;1;2;37;36;1;3;6;1;1;25493.85562;0;0;0;0;0;0;1962.4509;38;36;14;15;4;;4;10;4;10;78;FR10;Ile-de-France;8;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
